,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
73,2009,GASOLINA C (m3),3104780.659866961,3766690.112269807,8464406.75751129,3953749.606440776,3705725.5397560913,4787390.329533463,2776451.672529355,2720658.822782256,3597320.1855274118,3158631.0863035433,2332535.8125950405,3463232.890333255,4986606.018550764
74,2009,GASOLINA DE AVIAÇÃO (m3),12592.263608661555,9315.632700955157,11569.048663359943,10320.431075864171,6651.365492079079,5533.337206275972,8947.880157569598,8724.012577942622,8403.337513599054,7140.685189682498,18252.568566931513,10153.979069355148,7362.080177723681
75,2009,GLP (m3),1389208.5153825472,1163611.1837386682,1917552.8159016483,2253988.2849771366,1491099.0320684102,1895877.4318231945,4071050.7541827955,1933913.482677372,1487208.2146203879,2087212.985897956,1295826.695294052,1341434.8555072418,1898385.5269140922
76,2009,QUEROSENE DE AVIAÇÃO (m3),2546059.5640000002,633909.068,497803.46900000004,734658.817,553694.997,498308.781,689886.163,843868.435,487535.51399999997,869580.0009999999,645880.645,605578.837,1250001.185
77,2009,QUEROSENE ILUMINANTE (m3),1316.225,2632.9,4443.848,1542.144,1202.95,3149.2309999999998,3392.716,4070.5420000000004,3848.4,1896.6,1539.9,2005.216,1617.874
78,2009,ÓLEO COMBUSTÍVEL (m3),880082.103,1407913.62,431050.041,1072532.653,708183.198,538718.874,580088.225,467327.421,431973.847,689797.38,679410.357,397612.913,1723255.094
79,2009,ÓLEO DIESEL (m3),5777614.03749281,6554142.121495009,5137822.323326739,4177565.4867212228,6798880.11110479,9145029.339219185,5771853.627896529,6143901.450906478,13751749.741179476,7829737.816367575,5685731.083453168,6860912.326429605,4961986.110407429
80,2010,ETANOL HIDRATADO (m3),2370275.4732621643,1275287.0473047434,1545101.415963333,1499669.6150082527,1804183.3349997704,2403234.5372321396,1534519.602799372,1335242.0152038725,1840016.7356197364,2084806.398015275,1442595.2919807853,2024311.8834858574,8989357.621124698
81,2010,GASOLINA C (m3),5918290.302,3665124.729,4344881.392,9538109.01,4757275.189,4532401.175,5653539.939,3259817.2430000002,3203080.7600000002,4248637.384,3730093.8389999997,2752428.006,4083650.9960000003
82,2010,GASOLINA DE AVIAÇÃO (m3),8705.301010326475,13575.828449963601,10216.782709630179,12714.561678142378,11727.194804468416,7204.6149785525295,6406.010255826574,10243.554882893312,9808.729369857185,8216.769024900466,7072.599167039044,20983.00761423753,12234.066054162286
83,2010,GLP (m3),1970300.9868237488,1429886.4093473067,1211005.1235432627,1982367.8481928557,2343799.224684888,1547035.673069997,1959075.394893342,4175391.741430989,1994991.5035227549,1560486.3862684045,2179402.2534073577,1353154.5681003218,1409763.8214973742
84,2010,GLP - Até P13 (m3),1078603.4075357118,893140.7086881904,1546384.2920334367,1654184.413090685,1181655.8886497081,1501963.0017774014,2626586.6943295435,1420333.7843198555,1111428.726848114,1602037.4726102587,1030533.8307814822,1078200.989975634,1488480.5683454876
85,2010,GLP - Outros (m3),481820.41847826086,351283.0018115941,317864.4148550719,435983.5561594202,689614.8115942026,365379.78442029044,457112.3931159416,1548805.047101446,574657.719202899,449057.65942028945,577364.7807971012,322620.73731884034,331562.83152173966
86,2010,QUEROSENE DE AVIAÇÃO (m3),1424623.2989999999,2877270.365,736929.54,578661.637,840314.513,650635.495,591969.938,800497.228,968906.6710000001,561709.287,995069.953,769768.225,703846.4550000001
87,2010,QUEROSENE ILUMINANTE (m3),1242.408,1536.95,2419.055,4666.8,1304.7,1168.134,3272.276,2482.941,3494.777,3792.873,1670.265,1763.755,1884.06
88,2010,ÓLEO COMBUSTÍVEL (m3),1704974.594,967538.428,1366892.06,458393.855,960087.9580000001,798859.026,525121.959,575469.894,421852.51300000004,405265.98699999996,655291.597,608252.2490000001,354967.758
89,2010,ÓLEO DIESEL (m3),5513209.071113388,6388764.523670923,7333544.050778063,5650612.400298606,4669567.81510709,7751605.580569934,10170236.727720795,6429387.641221036,6712666.937738163,15182965.411850054,8672183.037546769,6311238.783385376,7692096.504999872
90,2011,ETANOL HIDRATADO (m3),6899558.129666835,1789148.762837989,1203080.7081390806,1051131.7024640457,800290.144280902,1260235.0136961965,1827015.6592975578,1132239.9464409258,1014024.3755856024,1108156.0920389965,1385119.2514429796,948870.1015377241,1379571.1825711613
91,2011,GASOLINA C (m3),4973775.871,6832322.677,4339788.856,5280641.462,11890854.113,5579723.222,5001687.526000001,6481558.494,4106037.376,3895052.395,5020643.347,4313032.357,3267393.694
92,2011,GASOLINA DE AVIAÇÃO (m3),12869.403590178472,8036.700817302402,12481.296692252256,9785.36414756882,12833.684476725479,11286.791277026341,7450.603800918638,6646.617519174484,9711.481000505071,9957.338919363086,9566.696442997038,7304.849588835945,22827.467727152023
93,2011,GLP (m3),1453810.0159345507,2029255.724235727,1470168.123128205,1254251.0674881842,2049010.5534213558,2342054.4753499306,1610633.5380709798,2009528.0027213648,4233143.51924922,2052708.6675314032,1614201.7095315403,2242485.856630755,1373757.7394604099
